Date,Open,High,Low,Close,Volume
20210118  01:42:00 AM,103.737,103.747,103.732,103.737,114
20210118  01:43:00 AM,103.737,103.737,103.732,103.734,43
20210118  01:44:00 AM,103.734,103.734,103.724,103.73,98
20210118  01:45:00 AM,103.73,103.732,103.724,103.724,82
20210118  01:46:00 AM,103.724,103.73,103.717,103.724,74
20210118  01:47:00 AM,103.723,103.742,103.717,103.73,108
20210118  01:48:00 AM,103.728,103.73,103.723,103.729,103
20210118  01:49:00 AM,103.728,103.728,103.723,103.725,34
20210118  01:50:00 AM,103.725,103.727,103.722,103.727,63
20210118  01:51:00 AM,103.726,103.726,103.717,103.717,81
20210118  01:52:00 AM,103.717,103.724,103.716,103.724,23
20210118  01:53:00 AM,103.724,103.733,103.724,103.73,45
20210118  01:54:00 AM,103.732,103.732,103.727,103.727,19
20210118  01:55:00 AM,103.725,103.726,103.714,103.723,75
20210118  01:56:00 AM,103.723,103.726,103.718,103.72,70
20210118  01:57:00 AM,103.72,103.72,103.705,103.705,42
20210118  01:58:00 AM,103.705,103.728,103.705,103.726,57
20210118  01:59:00 AM,103.727,103.732,103.723,103.726,81
20210118  02:00:00 AM,103.723,103.727,103.713,103.721,100
20210118  02:01:00 AM,103.721,103.724,103.711,103.711,40
20210118  02:02:00 AM,103.709,103.71,103.704,103.71,48
20210118  02:03:00 AM,103.709,103.709,103.695,103.702,112
20210118  02:04:00 AM,103.703,103.703,103.69,103.69,43
20210118  02:05:00 AM,103.69,103.702,103.689,103.701,76
20210118  02:06:00 AM,103.702,103.702,103.698,103.699,17
20210118  02:07:00 AM,103.695,103.696,103.688,103.689,55
20210118  02:08:00 AM,103.689,103.706,103.689,103.706,73
20210118  02:09:00 AM,103.704,103.706,103.698,103.706,58
20210118  02:10:00 AM,103.707,103.726,103.706,103.725,65
20210118  02:11:00 AM,103.726,103.734,103.724,103.727,55
20210118  02:12:00 AM,103.728,103.73,103.723,103.727,38
20210118  02:13:00 AM,103.727,103.732,103.718,103.722,62
20210118  02:14:00 AM,103.72,103.726,103.707,103.721,134
20210118  02:15:00 AM,103.722,103.728,103.715,103.716,72
20210118  02:16:00 AM,103.716,103.735,103.716,103.725,62
20210118  02:17:00 AM,103.724,103.736,103.716,103.72,188
20210118  02:18:00 AM,103.72,103.734,103.714,103.716,191
20210118  02:19:00 AM,103.718,103.733,103.716,103.719,189
20210118  02:20:00 AM,103.721,103.736,103.72,103.728,71
20210118  02:21:00 AM,103.728,103.739,103.723,103.727,141
20210118  02:22:00 AM,103.732,103.744,103.728,103.744,101
20210118  02:23:00 AM,103.744,103.748,103.73,103.743,137
20210118  02:24:00 AM,103.744,103.751,103.736,103.75,129
20210118  02:25:00 AM,103.749,103.749,103.733,103.741,147
20210118  02:26:00 AM,103.74,103.746,103.729,103.731,155
20210118  02:27:00 AM,103.731,103.745,103.727,103.741,193
20210118  02:28:00 AM,103.739,103.744,103.732,103.737,120
20210118  02:29:00 AM,103.738,103.748,103.734,103.743,132
20210118  02:30:00 AM,103.742,103.744,103.73,103.731,101
20210118  02:31:00 AM,103.732,103.735,103.726,103.728,59
20210118  02:32:00 AM,103.727,103.733,103.723,103.725,34
20210118  02:33:00 AM,103.723,103.725,103.719,103.725,21
20210118  02:34:00 AM,103.724,103.724,103.723,103.724,11
20210118  02:35:00 AM,103.724,103.724,103.715,103.718,16
20210118  02:36:00 AM,103.718,103.718,103.709,103.712,26
20210118  02:37:00 AM,103.712,103.712,103.704,103.705,55
20210118  02:38:00 AM,103.706,103.706,103.7,103.7,88
20210118  02:39:00 AM,103.699,103.7,103.689,103.695,196
20210118  02:40:00 AM,103.697,103.708,103.697,103.699,67
20210118  02:41:00 AM,103.699,103.706,103.695,103.704,111
20210118  02:42:00 AM,103.705,103.71,103.701,103.709,89
20210118  02:43:00 AM,103.71,103.712,103.701,103.707,38
20210118  02:44:00 AM,103.707,103.708,103.705,103.706,17
20210118  02:45:00 AM,103.707,103.71,103.705,103.706,49
20210118  02:46:00 AM,103.705,103.709,103.702,103.709,38
20210118  02:47:00 AM,103.71,103.71,103.7,103.702,37
20210118  02:48:00 AM,103.701,103.707,103.701,103.706,36
20210118  02:49:00 AM,103.707,103.712,103.703,103.707,34
20210118  02:50:00 AM,103.708,103.717,103.708,103.713,38
20210118  02:51:00 AM,103.713,103.714,103.704,103.704,40
20210118  02:52:00 AM,103.705,103.715,103.705,103.715,26
20210118  02:53:00 AM,103.714,103.717,103.707,103.713,22
20210118  02:54:00 AM,103.711,103.712,103.711,103.712,11
20210118  02:55:00 AM,103.712,103.712,103.704,103.712,46
20210118  02:56:00 AM,103.712,103.712,103.709,103.711,17
20210118  02:57:00 AM,103.711,103.716,103.71,103.712,38
20210118  02:58:00 AM,103.711,103.711,103.704,103.704,48
20210118  02:59:00 AM,103.706,103.716,103.705,103.713,79
20210118  03:00:00 AM,103.713,103.719,103.705,103.711,124
20210118  03:01:00 AM,103.711,103.725,103.709,103.718,65
20210118  03:02:00 AM,103.718,103.725,103.712,103.722,111
20210118  03:03:00 AM,103.722,103.728,103.717,103.721,68
20210118  03:04:00 AM,103.722,103.732,103.719,103.72,84
20210118  03:05:00 AM,103.722,103.732,103.722,103.725,96
20210118  03:06:00 AM,103.725,103.737,103.721,103.73,85
20210118  03:07:00 AM,103.729,103.743,103.726,103.741,105
20210118  03:08:00 AM,103.742,103.749,103.736,103.747,55
20210118  03:09:00 AM,103.745,103.75,103.736,103.746,118
20210118  03:10:00 AM,103.747,103.753,103.738,103.742,133
20210118  03:11:00 AM,103.745,103.754,103.743,103.745,101
20210118  03:12:00 AM,103.745,103.745,103.741,103.742,20
20210118  03:14:00 AM,103.741,103.741,103.735,103.736,24
20210118  03:15:00 AM,103.735,103.751,103.735,103.75,67
20210118  03:16:00 AM,103.747,103.752,103.74,103.747,109
20210118  03:17:00 AM,103.747,103.747,103.735,103.736,193
20210118  03:18:00 AM,103.736,103.75,103.736,103.741,187
20210118  03:19:00 AM,103.742,103.746,103.739,103.741,52
20210118  03:20:00 AM,103.743,103.751,103.738,103.74,144
20210118  03:21:00 AM,103.74,103.746,103.74,103.746,70
20210118  03:22:00 AM,103.745,103.755,103.744,103.75,150
20210118  03:23:00 AM,103.751,103.766,103.75,103.752,112
20210118  03:24:00 AM,103.752,103.763,103.751,103.76,67
20210118  03:25:00 AM,103.758,103.758,103.756,103.758,24
20210118  03:26:00 AM,103.757,103.757,103.745,103.745,97
20210118  03:27:00 AM,103.747,103.761,103.746,103.752,80
20210118  03:28:00 AM,103.753,103.764,103.753,103.761,37
20210118  03:29:00 AM,103.758,103.761,103.758,103.761,38
20210118  03:30:00 AM,103.761,103.771,103.761,103.768,40
20210118  03:31:00 AM,103.767,103.773,103.764,103.772,41
20210118  03:32:00 AM,103.773,103.78,103.771,103.78,35
20210118  03:33:00 AM,103.78,103.782,103.774,103.774,24
20210118  03:34:00 AM,103.772,103.772,103.767,103.769,27
20210118  03:35:00 AM,103.768,103.768,103.759,103.76,47
20210118  03:36:00 AM,103.761,103.765,103.76,103.763,29
20210118  03:37:00 AM,103.763,103.763,103.757,103.757,22
20210118  03:38:00 AM,103.756,103.757,103.752,103.755,34
20210118  03:39:00 AM,103.755,103.759,103.754,103.759,29
20210118  03:40:00 AM,103.761,103.767,103.761,103.766,12
20210118  03:41:00 AM,103.767,103.769,103.763,103.764,27
20210118  03:42:00 AM,103.763,103.765,103.762,103.764,21
20210118  03:43:00 AM,103.764,103.766,103.76,103.765,25
20210118  03:44:00 AM,103.764,103.764,103.763,103.763,4
20210118  03:45:00 AM,103.763,103.763,103.759,103.76,44
20210118  03:46:00 AM,103.759,103.764,103.759,103.763,22
20210118  03:47:00 AM,103.761,103.766,103.761,103.765,65
20210118  03:48:00 AM,103.764,103.765,103.764,103.765,9
20210118  03:49:00 AM,103.764,103.767,103.764,103.764,26
20210118  03:50:00 AM,103.765,103.77,103.765,103.766,36
20210118  03:51:00 AM,103.765,103.767,103.763,103.763,22
20210118  03:52:00 AM,103.763,103.763,103.756,103.758,18
20210118  03:53:00 AM,103.758,103.763,103.758,103.761,36
20210118  03:54:00 AM,103.761,103.761,103.76,103.76,6
20210118  03:55:00 AM,103.762,103.768,103.762,103.766,26
20210118  03:56:00 AM,103.767,103.768,103.763,103.763,22
20210118  03:57:00 AM,103.762,103.762,103.752,103.758,105
20210118  03:58:00 AM,103.754,103.754,103.746,103.753,57
20210118  03:59:00 AM,103.752,103.752,103.743,103.743,46
20210118  04:00:00 AM,103.745,103.755,103.745,103.751,37
20210118  04:01:00 AM,103.75,103.757,103.75,103.757,14
20210118  04:02:00 AM,103.757,103.763,103.757,103.76,27
20210118  04:03:00 AM,103.759,103.759,103.754,103.758,69
20210118  04:04:00 AM,103.759,103.759,103.754,103.754,41
20210118  04:05:00 AM,103.755,103.765,103.755,103.765,33
20210118  04:06:00 AM,103.765,103.768,103.758,103.761,43
20210118  04:07:00 AM,103.761,103.761,103.752,103.752,30
20210118  04:08:00 AM,103.754,103.755,103.753,103.753,11
20210118  04:09:00 AM,103.753,103.753,103.751,103.752,24
20210118  04:10:00 AM,103.751,103.753,103.747,103.751,20
20210118  04:11:00 AM,103.752,103.752,103.742,103.743,29
20210118  04:12:00 AM,103.746,103.746,103.74,103.741,31
20210118  04:13:00 AM,103.741,103.741,103.734,103.735,32
20210118  04:14:00 AM,103.735,103.735,103.731,103.733,20
20210118  04:15:00 AM,103.736,103.742,103.735,103.737,19
20210118  04:16:00 AM,103.736,103.744,103.736,103.74,26
20210118  04:17:00 AM,103.74,103.748,103.739,103.745,24
20210118  04:18:00 AM,103.744,103.748,103.744,103.748,9
20210118  04:19:00 AM,103.748,103.751,103.746,103.75,43
20210118  04:20:00 AM,103.75,103.75,103.747,103.747,14
20210118  04:21:00 AM,103.748,103.757,103.748,103.756,22
20210118  04:22:00 AM,103.756,103.756,103.749,103.75,45
20210118  04:23:00 AM,103.753,103.757,103.753,103.754,43
20210118  04:24:00 AM,103.755,103.761,103.755,103.761,69
20210118  04:25:00 AM,103.761,103.761,103.753,103.756,36
20210118  04:26:00 AM,103.756,103.756,103.743,103.747,76
20210118  04:27:00 AM,103.748,103.752,103.746,103.746,56
20210118  04:28:00 AM,103.747,103.753,103.746,103.749,13
20210118  04:29:00 AM,103.751,103.752,103.748,103.751,53
20210118  04:30:00 AM,103.752,103.755,103.748,103.75,52
20210118  04:31:00 AM,103.751,103.766,103.751,103.766,72
20210118  04:32:00 AM,103.766,103.767,103.756,103.759,59
20210118  04:33:00 AM,103.759,103.759,103.75,103.753,54
20210118  04:34:00 AM,103.752,103.752,103.747,103.748,25
20210118  04:35:00 AM,103.75,103.752,103.749,103.75,19
20210118  04:36:00 AM,103.75,103.755,103.748,103.754,31
20210118  04:37:00 AM,103.756,103.761,103.754,103.757,65
20210118  04:38:00 AM,103.759,103.759,103.753,103.758,68
20210118  04:39:00 AM,103.757,103.759,103.755,103.755,16
20210118  04:40:00 AM,103.756,103.756,103.753,103.756,26
20210118  04:41:00 AM,103.756,103.756,103.755,103.755,11
20210118  04:42:00 AM,103.758,103.762,103.758,103.76,41
20210118  04:43:00 AM,103.76,103.76,103.754,103.755,54
20210118  04:44:00 AM,103.757,103.757,103.757,103.757,1
20210118  04:45:00 AM,103.756,103.758,103.75,103.751,45
20210118  04:46:00 AM,103.749,103.75,103.744,103.745,57
20210118  04:47:00 AM,103.744,103.75,103.741,103.747,75
20210118  04:48:00 AM,103.75,103.755,103.75,103.755,23
20210118  04:49:00 AM,103.753,103.754,103.747,103.752,50
20210118  04:50:00 AM,103.753,103.755,103.751,103.755,22
20210118  04:51:00 AM,103.752,103.755,103.752,103.753,18
20210118  04:52:00 AM,103.755,103.755,103.75,103.75,9
20210118  04:53:00 AM,103.749,103.752,103.747,103.752,31
20210118  04:54:00 AM,103.752,103.752,103.745,103.745,24
20210118  04:55:00 AM,103.745,103.746,103.737,103.746,52
20210118  04:56:00 AM,103.742,103.742,103.737,103.737,19
20210118  04:57:00 AM,103.736,103.744,103.736,103.74,50
20210118  04:58:00 AM,103.739,103.745,103.737,103.741,32
20210118  04:59:00 AM,103.742,103.747,103.741,103.745,54
20210118  05:00:00 AM,103.745,103.747,103.736,103.736,39
20210118  05:01:00 AM,103.735,103.738,103.735,103.736,33
20210118  05:02:00 AM,103.736,103.74,103.734,103.734,39
20210118  05:03:00 AM,103.735,103.736,103.734,103.736,7
20210118  05:04:00 AM,103.736,103.736,103.734,103.735,24
20210118  05:05:00 AM,103.736,103.736,103.735,103.735,13
20210118  05:06:00 AM,103.736,103.742,103.736,103.741,46
20210118  05:07:00 AM,103.74,103.741,103.736,103.74,22
20210118  05:08:00 AM,103.741,103.744,103.74,103.742,12
20210118  05:09:00 AM,103.742,103.75,103.74,103.746,84
20210118  05:10:00 AM,103.745,103.747,103.737,103.737,56
20210118  05:11:00 AM,103.737,103.742,103.735,103.741,50
20210118  05:12:00 AM,103.745,103.745,103.735,103.735,49
20210118  05:13:00 AM,103.733,103.734,103.724,103.73,53
20210118  05:14:00 AM,103.73,103.73,103.71,103.714,154
20210118  05:15:00 AM,103.713,103.723,103.713,103.714,58
20210118  05:16:00 AM,103.714,103.718,103.71,103.71,51
20210118  05:17:00 AM,103.711,103.711,103.706,103.707,27
20210118  05:18:00 AM,103.706,103.71,103.704,103.709,31
20210118  05:19:00 AM,103.711,103.716,103.707,103.712,51
20210118  05:20:00 AM,103.713,103.722,103.713,103.722,61
20210118  05:21:00 AM,103.721,103.722,103.718,103.718,16
20210118  05:22:00 AM,103.717,103.725,103.716,103.725,27
20210118  05:23:00 AM,103.722,103.73,103.722,103.728,67
20210118  05:24:00 AM,103.727,103.73,103.726,103.726,29
20210118  05:25:00 AM,103.727,103.729,103.72,103.723,61
20210118  05:26:00 AM,103.721,103.722,103.717,103.718,57
20210118  05:27:00 AM,103.718,103.724,103.717,103.72,59
20210118  05:28:00 AM,103.721,103.729,103.716,103.716,47
20210118  05:29:00 AM,103.715,103.72,103.715,103.717,25
20210118  05:30:00 AM,103.716,103.722,103.715,103.719,63
20210118  05:31:00 AM,103.719,103.724,103.716,103.719,53
20210118  05:32:00 AM,103.72,103.723,103.715,103.717,75
20210118  05:33:00 AM,103.716,103.724,103.716,103.716,95
20210118  05:34:00 AM,103.716,103.725,103.716,103.719,106
20210118  05:35:00 AM,103.719,103.721,103.712,103.716,109
20210118  05:36:00 AM,103.718,103.721,103.705,103.71,146
20210118  05:37:00 AM,103.709,103.71,103.704,103.705,175
20210118  05:38:00 AM,103.704,103.707,103.695,103.7,112
20210118  05:39:00 AM,103.7,103.701,103.698,103.701,36
20210118  05:40:00 AM,103.702,103.709,103.702,103.705,26
20210118  05:41:00 AM,103.705,103.705,103.7,103.7,14
20210118  05:42:00 AM,103.701,103.708,103.701,103.701,56
20210118  05:43:00 AM,103.699,103.708,103.699,103.708,53
20210118  05:44:00 AM,103.709,103.716,103.709,103.712,85
20210118  05:45:00 AM,103.712,103.715,103.712,103.715,15
20210118  05:46:00 AM,103.715,103.715,103.71,103.711,69
20210118  05:47:00 AM,103.712,103.721,103.711,103.721,32
20210118  05:48:00 AM,103.721,103.722,103.716,103.717,17
20210118  05:49:00 AM,103.717,103.725,103.716,103.725,70
20210118  05:50:00 AM,103.724,103.728,103.721,103.728,63
20210118  05:51:00 AM,103.727,103.731,103.725,103.729,64
20210118  05:52:00 AM,103.731,103.734,103.731,103.732,15
20210118  05:53:00 AM,103.734,103.737,103.723,103.729,95
20210118  05:54:00 AM,103.73,103.733,103.726,103.733,65
20210118  05:55:00 AM,103.733,103.736,103.73,103.73,41
20210118  05:56:00 AM,103.73,103.732,103.728,103.73,28
20210118  05:57:00 AM,103.73,103.73,103.725,103.727,54
20210118  05:58:00 AM,103.726,103.733,103.725,103.728,97
20210118  05:59:00 AM,103.73,103.739,103.725,103.727,177
20210118  06:00:00 AM,103.729,103.751,103.719,103.747,163
20210118  06:01:00 AM,103.746,103.747,103.74,103.741,119
20210118  06:02:00 AM,103.741,103.743,103.738,103.741,49
20210118  06:03:00 AM,103.743,103.746,103.736,103.746,61
20210118  06:04:00 AM,103.747,103.75,103.741,103.741,59
20210118  06:05:00 AM,103.74,103.746,103.74,103.746,40
20210118  06:06:00 AM,103.745,103.75,103.738,103.748,77
20210118  06:07:00 AM,103.748,103.75,103.745,103.75,40
20210118  06:08:00 AM,103.751,103.751,103.747,103.748,19
20210118  06:09:00 AM,103.748,103.75,103.745,103.75,31
20210118  06:10:00 AM,103.751,103.754,103.746,103.751,51
20210118  06:11:00 AM,103.751,103.752,103.74,103.74,64
20210118  06:12:00 AM,103.741,103.745,103.741,103.743,55
20210118  06:13:00 AM,103.746,103.746,103.739,103.743,97
20210118  06:14:00 AM,103.744,103.75,103.744,103.745,52
20210118  06:15:00 AM,103.746,103.748,103.744,103.744,29
20210118  06:16:00 AM,103.746,103.747,103.743,103.744,77
20210118  06:17:00 AM,103.744,103.744,103.734,103.734,81
20210118  06:18:00 AM,103.734,103.74,103.732,103.739,62
20210118  06:19:00 AM,103.739,103.742,103.733,103.734,85
20210118  06:20:00 AM,103.734,103.741,103.734,103.735,63
20210118  06:21:00 AM,103.735,103.737,103.735,103.736,21
20210118  06:22:00 AM,103.734,103.744,103.734,103.744,32
20210118  06:23:00 AM,103.743,103.744,103.741,103.743,16
20210118  06:24:00 AM,103.742,103.744,103.742,103.743,26
20210118  06:25:00 AM,103.743,103.743,103.734,103.736,34
20210118  06:26:00 AM,103.734,103.748,103.734,103.743,76
20210118  06:27:00 AM,103.743,103.745,103.74,103.745,29
20210118  06:28:00 AM,103.745,103.748,103.745,103.745,22
20210118  06:29:00 AM,103.745,103.747,103.743,103.743,15
20210118  06:30:00 AM,103.741,103.741,103.738,103.739,11
20210118  06:31:00 AM,103.737,103.738,103.731,103.732,78
20210118  06:32:00 AM,103.732,103.736,103.732,103.734,26
20210118  06:33:00 AM,103.733,103.739,103.732,103.738,54
20210118  06:34:00 AM,103.738,103.739,103.738,103.739,10
20210118  06:35:00 AM,103.739,103.745,103.739,103.745,22
20210118  06:36:00 AM,103.745,103.746,103.739,103.74,63
20210118  06:37:00 AM,103.743,103.747,103.74,103.745,49
20210118  06:38:00 AM,103.745,103.745,103.745,103.745,5
20210118  06:40:00 AM,103.743,103.743,103.736,103.736,26
20210118  06:41:00 AM,103.738,103.745,103.738,103.739,31
20210118  06:42:00 AM,103.739,103.743,103.739,103.74,46
20210118  06:43:00 AM,103.743,103.744,103.739,103.741,27
20210118  06:44:00 AM,103.74,103.74,103.738,103.739,9
20210118  06:45:00 AM,103.737,103.738,103.734,103.735,22
20210118  06:46:00 AM,103.734,103.734,103.729,103.73,15
20210118  06:47:00 AM,103.731,103.733,103.729,103.729,27
20210118  06:49:00 AM,103.729,103.735,103.728,103.734,18
20210118  06:50:00 AM,103.733,103.735,103.733,103.735,7
20210118  06:51:00 AM,103.735,103.736,103.735,103.736,2
20210118  06:52:00 AM,103.733,103.733,103.729,103.732,22
20210118  06:53:00 AM,103.732,103.735,103.73,103.73,14
20210118  06:54:00 AM,103.728,103.729,103.712,103.713,75
20210118  06:55:00 AM,103.712,103.714,103.708,103.711,40
20210118  06:56:00 AM,103.711,103.716,103.704,103.707,65
20210118  06:57:00 AM,103.707,103.712,103.707,103.711,29
20210118  06:58:00 AM,103.711,103.712,103.705,103.707,38
20210118  06:59:00 AM,103.708,103.721,103.708,103.719,45
20210118  07:00:00 AM,103.72,103.723,103.715,103.718,61
20210118  07:01:00 AM,103.719,103.721,103.714,103.721,54
20210118  07:02:00 AM,103.72,103.72,103.711,103.711,46
20210118  07:03:00 AM,103.71,103.71,103.703,103.703,62
20210118  07:04:00 AM,103.703,103.712,103.701,103.709,47
20210118  07:05:00 AM,103.71,103.719,103.709,103.719,26
20210118  07:06:00 AM,103.719,103.729,103.719,103.728,64
20210118  07:07:00 AM,103.73,103.732,103.728,103.729,36
20210118  07:08:00 AM,103.729,103.73,103.721,103.73,36
20210118  07:09:00 AM,103.732,103.732,103.721,103.723,43
20210118  07:10:00 AM,103.724,103.727,103.72,103.72,39
20210118  07:11:00 AM,103.722,103.724,103.718,103.718,35
20210118  07:12:00 AM,103.718,103.718,103.713,103.715,59
20210118  07:13:00 AM,103.714,103.723,103.709,103.722,31
20210118  07:14:00 AM,103.722,103.735,103.722,103.729,58
20210118  07:15:00 AM,103.728,103.732,103.725,103.73,66
20210118  07:16:00 AM,103.731,103.731,103.728,103.728,16
20210118  07:17:00 AM,103.729,103.729,103.719,103.719,75
20210118  07:18:00 AM,103.72,103.727,103.718,103.718,55
20210118  07:19:00 AM,103.718,103.725,103.717,103.719,71
20210118  07:20:00 AM,103.719,103.722,103.719,103.72,22
20210118  07:21:00 AM,103.72,103.72,103.719,103.719,6
20210118  07:22:00 AM,103.719,103.719,103.715,103.719,28
20210118  07:23:00 AM,103.719,103.728,103.719,103.725,75
20210118  07:24:00 AM,103.723,103.736,103.719,103.736,62
20210118  07:25:00 AM,103.737,103.739,103.734,103.734,23
20210118  07:26:00 AM,103.737,103.741,103.735,103.737,64
20210118  07:27:00 AM,103.737,103.74,103.728,103.735,41
20210118  07:28:00 AM,103.738,103.741,103.731,103.732,32
20210118  07:29:00 AM,103.733,103.741,103.731,103.741,40
